2025-12-23 10:09:40,062 [INFO] django.utils.autoreload: Watching for file changes with StatReloader
INFO 2025-12-23 17:29:54,697 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
WARNING 2025-12-23 17:29:54,892 log Not Found: /favicon.ico
WARNING 2025-12-23 17:29:54,893 basehttp "GET /favicon.ico HTTP/1.1" 404 2817
INFO 2025-12-23 17:33:42,354 autoreload Watching for file changes with StatReloader
INFO 2025-12-23 17:35:17,058 basehttp "GET /api/plu/fornitori/ HTTP/1.1" 200 11414
INFO 2025-12-23 17:35:17,223 basehttp "GET /api/plu/ HTTP/1.1" 200 672979
INFO 2025-12-23 17:35:17,359 basehttp "GET /api/plu/reparti/ HTTP/1.1" 200 760
INFO 2025-12-23 17:35:17,379 basehttp "GET /api/plu/banchi/ HTTP/1.1" 200 896
INFO 2025-12-23 17:45:01,284 basehttp "GET /api/plu/reparti/ HTTP/1.1" 200 760
INFO 2025-12-23 17:45:01,419 basehttp "GET /api/plu/reparti/ HTTP/1.1" 200 760
INFO 2025-12-23 17:45:01,591 basehttp "GET /api/plu/banchi/ HTTP/1.1" 200 896
INFO 2025-12-23 17:45:01,727 basehttp "GET /api/plu/fornitori/ HTTP/1.1" 200 11414
INFO 2025-12-23 17:45:01,876 basehttp "GET /api/plu/fornitori/ HTTP/1.1" 200 11414
INFO 2025-12-23 17:45:02,063 basehttp "GET /api/plu/banchi/ HTTP/1.1" 200 896
INFO 2025-12-23 17:45:02,678 basehttp "GET /api/plu/ HTTP/1.1" 200 672979
INFO 2025-12-23 17:45:02,919 basehttp "GET /api/plu/ HTTP/1.1" 200 672979
INFO 2026-01-02 12:16:08,196 autoreload Watching for file changes with StatReloader
INFO 2026-01-02 12:16:16,810 basehttp "OPTIONS /api/auth/login-ldap/ HTTP/1.1" 200 0
INFO 2026-01-02 12:16:17,193 basehttp "POST /api/auth/login-ldap/ HTTP/1.1" 200 66
WARNING 2026-01-02 12:16:20,569 log Not Found: /dashboard/
WARNING 2026-01-02 12:16:20,570 basehttp "GET /dashboard/ HTTP/1.1" 404 2814
WARNING 2026-01-02 12:16:50,738 log Not Found: /dashboard/
WARNING 2026-01-02 12:16:50,739 basehttp "GET /dashboard/ HTTP/1.1" 404 2814
INFO 2026-01-02 12:24:34,741 autoreload C:\portale\backend\project_core\settings\base.py changed, reloading.
INFO 2026-01-02 12:24:35,788 autoreload Watching for file changes with StatReloader
INFO 2026-01-02 12:26:01,733 autoreload C:\portale\backend\project_core\settings\dev.py changed, reloading.
